datetime,sw_radiation,temp_2m,cloud_cover
2020-05-20 00:00:00,0.0,29.9,100
2020-05-20 01:00:00,0.0,29.4,100
2020-05-20 02:00:00,0.0,28.7,100
2020-05-20 03:00:00,0.0,28.0,100
2020-05-20 04:00:00,0.0,27.4,99
2020-05-20 05:00:00,0.0,27.4,95
2020-05-20 06:00:00,20.0,27.6,100
2020-05-20 07:00:00,158.0,28.5,100
2020-05-20 08:00:00,359.0,30.1,100
2020-05-20 09:00:00,555.0,32.2,100
2020-05-20 10:00:00,714.0,34.5,99
2020-05-20 11:00:00,854.0,36.5,100
2020-05-20 12:00:00,915.0,38.2,100
2020-05-20 13:00:00,763.0,39.0,100
2020-05-20 14:00:00,601.0,39.3,99
2020-05-20 15:00:00,521.0,39.5,99
2020-05-20 16:00:00,338.0,39.4,98
2020-05-20 17:00:00,238.0,39.1,98
2020-05-20 18:00:00,63.0,36.8,99
2020-05-20 19:00:00,0.0,35.5,95
2020-05-20 20:00:00,0.0,34.4,93
2020-05-20 21:00:00,0.0,34.2,95
2020-05-20 22:00:00,0.0,33.1,98
2020-05-20 23:00:00,0.0,31.8,97
2020-05-21 00:00:00,0.0,30.5,96
2020-05-21 01:00:00,0.0,29.6,99
2020-05-21 02:00:00,0.0,28.9,95
2020-05-21 03:00:00,0.0,28.4,99
2020-05-21 04:00:00,0.0,27.9,97
2020-05-21 05:00:00,0.0,27.7,97
2020-05-21 06:00:00,22.0,27.8,72
2020-05-21 07:00:00,171.0,28.7,86
2020-05-21 08:00:00,383.0,30.4,86
2020-05-21 09:00:00,601.0,32.7,78
2020-05-21 10:00:00,783.0,35.4,83
2020-05-21 11:00:00,905.0,37.4,88
2020-05-21 12:00:00,949.0,38.9,85
2020-05-21 13:00:00,771.0,39.7,69
2020-05-21 14:00:00,706.0,40.4,41
2020-05-21 15:00:00,513.0,40.3,57
2020-05-21 16:00:00,337.0,40.1,55
2020-05-21 17:00:00,174.0,40.1,68
2020-05-21 18:00:00,71.0,39.0,10
2020-05-21 19:00:00,0.0,37.5,24
2020-05-21 20:00:00,0.0,36.3,10
2020-05-21 21:00:00,0.0,35.4,40
2020-05-21 22:00:00,0.0,34.1,38
2020-05-21 23:00:00,0.0,33.2,8
2020-05-22 00:00:00,0.0,32.2,3
2020-05-22 01:00:00,0.0,30.9,2
2020-05-22 02:00:00,0.0,29.9,1
2020-05-22 03:00:00,0.0,29.0,1
2020-05-22 04:00:00,0.0,28.4,1
2020-05-22 05:00:00,0.0,28.0,31
2020-05-22 06:00:00,22.0,27.9,50
2020-05-22 07:00:00,176.0,28.7,25
2020-05-22 08:00:00,394.0,30.5,34
2020-05-22 09:00:00,607.0,32.8,0
2020-05-22 10:00:00,783.0,35.1,0
2020-05-22 11:00:00,905.0,37.2,0
2020-05-22 12:00:00,960.0,39.0,2
2020-05-22 13:00:00,845.0,39.9,40
2020-05-22 14:00:00,661.0,40.2,29
2020-05-22 15:00:00,556.0,40.2,43
2020-05-22 16:00:00,403.0,40.4,50
2020-05-22 17:00:00,238.0,40.4,82
2020-05-22 18:00:00,74.0,39.4,8
2020-05-22 19:00:00,0.0,38.1,8
2020-05-22 20:00:00,0.0,36.8,7
2020-05-22 21:00:00,0.0,35.4,94
2020-05-22 22:00:00,0.0,33.9,94
2020-05-22 23:00:00,0.0,33.9,52
2020-05-23 00:00:00,0.0,32.6,76
2020-05-23 01:00:00,0.0,31.1,59
2020-05-23 02:00:00,0.0,30.0,22
2020-05-23 03:00:00,0.0,29.5,62
2020-05-23 04:00:00,0.0,28.8,37
2020-05-23 05:00:00,0.0,28.8,13
2020-05-23 06:00:00,22.0,29.2,22
2020-05-23 07:00:00,176.0,30.5,0
2020-05-23 08:00:00,395.0,32.5,7
2020-05-23 09:00:00,609.0,34.7,9
2020-05-23 10:00:00,784.0,36.8,43
2020-05-23 11:00:00,903.0,38.7,32
2020-05-23 12:00:00,846.0,39.7,40
2020-05-23 13:00:00,761.0,40.2,37
2020-05-23 14:00:00,713.0,40.6,37
2020-05-23 15:00:00,595.0,40.7,27
2020-05-23 16:00:00,382.0,40.8,25
2020-05-23 17:00:00,202.0,40.5,13
2020-05-23 18:00:00,62.0,39.8,26
2020-05-23 19:00:00,0.0,39.1,22
2020-05-23 20:00:00,0.0,38.2,23
2020-05-23 21:00:00,0.0,36.6,14
2020-05-23 22:00:00,0.0,35.6,9
2020-05-23 23:00:00,0.0,33.2,10
2020-05-24 00:00:00,0.0,32.1,65
2020-05-24 01:00:00,0.0,31.7,100
