Parameter,Normal Equation,Batch GD (5000 iters),SGD (50 epochs)
theta_0,6873.434023137886,6873.434023137439,6879.425277967754
theta_1 (irradiation),8264.879433905731,8264.879327304305,7654.126678050344
theta_2 (module_temp),-25.5653549668923,-25.56521201391007,825.0115604411259
theta_3 (ambient_temp),-15.942094809522587,-15.942139300031405,-224.86291166410135
theta_4 (sin_hour),-42.038948956670026,-42.03895091014108,-51.626156392073256
theta_5 (cos_hour),-580.3806833898878,-580.3806824297283,-559.0116794466572
